Company Name,Contact Name,Phone,City,Email,Website,WA Verified,Status,Sent At
Blue Ocean Group,,+94777546546,Colombo,info@blueocean.lk,https://blueoceangroup.lk/,Yes,,
Realtor Lanka Properties,,+94766523523,Sri Jayawardenepura Kotte,,https://rlp.lk/,Yes,,
Golden Ceylon Property,,+94772749112,Rajagiriya,support@gcproperty.lk,https://www.gcproperty.lk/,Yes,,
Reality Lanka,,+94714920402,Sri Lanka,realitylanka06@gmail.com,https://www.realitylanka.com/,Yes,,
AN Realtors,,+94779978813,Battaramulla,,https://anrealtors.lk/,Yes,,
Asantha Real Estate,Asantha Pieris,+94773069640,Maharagama,contact@asantharealestate.lk,https://asantharealestate.lk/,Yes,,
Suncity Property Developers,,+94777354486,Malabe,,https://www.suncity.lk/,Yes,,
Araliya Lands,,+94777771049,Kadawatha,inq@araliyalands.com,https://www.araliyalands.com/,Yes,,
LankaLand,,+94723951560,Gampaha,info@lankaland.lk,https://www.lankaland.lk/,Yes,,
Negombo Property,,+94715678929,Negombo,info@negomboproperty.lk,https://negomboproperty.lk/,Yes,,
Prime Residencies,,+94706295591,Negombo,,https://www.primeresidencies.lk/,Yes,,
Oceana (Home Lands),,+94710299400,Wadduwa,,https://www.oceana.lk/,Yes,,
Home Lands Holdings,,+94705031031,Colombo,,https://www.homelands.lk/,Yes,,
Home Lands Skyline,,+94710299444,Battaramulla,,https://www.homelandsskyline.lk/,Yes,,
Ceylon Property & Investments,,+94777911977,Galle,,https://ceylonproperties.com/,Yes,,
The New Sri Lankan House,,+94774005326,Galle,hello@thenewsrilankanhouse.com,https://www.thenewsrilankanhouse.com/,Yes,,
Ahangama.co,,+9476035818,Ahangama,office@ahangama.co,https://www.ahangama.co/,Yes,,
The Property Shop,,+94777507501,Kandy,,https://propertyshop.lk/,Likely,,
Realtor Lanka Consultants,Rashmi Ranasinghe,+94772585878,Kandy,vijay@realtorlanka.com,https://www.realtorlanka.com/,Likely,,
South Lanka Realty,,+94777507207,Galle,,https://www.southlankarealty.com/,Likely,,
Lanka Island Properties,Chamith,+94773837280,Unawatuna,,https://www.lankaislandproperties.com/,Likely,,
South Sri Lanka Property,Veronica,+94772783866,Galle,info@southsrilankaproperty.com,https://www.southsrilankaproperty.com/,Likely,,
Kristall Spaces,,+94776232924,Mirissa,info@kristall-spaces.com,https://property-srilanka.com/,Likely,,
Kelsey Homes,,+94770774774,Ja-Ela,info@kelsey.lk,https://kelsey.lk/,Likely,,
Reliance Property Developers,,+94717788600,Kottawa,info@reliancepd.com,https://reliancepd.com/,Likely,,
Grand Properties,,+94701333777,Kiribathgoda,info@grandproperties.lk,https://grandproperties.lk/,Likely,,
Anura Property Sales,,+94710363655,Kelaniya,,https://www.anurapropertysales.com/,Likely,,
Colombo Realtors,,+94779914407,Nawala,info@colomborealtors.lk,https://colomborealtors.lk/,Likely,,
Real Lands and Properties,,+94715600400,Battaramulla,info@reallands.lk,http://www.reallands.lk/,Likely,,
Matarage Real Estate Consultants,,+94777703748,Rajagiriya,info@mataragerealestate.com,https://mataragerealestate.com/,Likely,,
GHR Global (Global Housing),,+94768787878,Colombo 07,,https://www.globalhousing.lk/,Likely,,
Noble Realty,,+94773117672,Maradana,,https://noblerealty.lk/,Likely,,
Piliyandala Real Estate & Homes,,+94752994333,Piliyandala,,https://www.facebook.com/piliyandalarealestateandhomes/,Likely,,
Fahad Properties,,+94771553659,Panadura,,https://www.facebook.com/p/Fahad-Properties-100063482052725/,Likely,,
Noble Homes Galle,,+94778354380,Unawatuna,noblehomegalle15@gmail.com,https://www.noblehomesgalle.com/,Yes,,
My Colombo Properties,,+94763178484,Colombo,info@mycolomboproperties.lk,https://mycolomboproperties.lk/,Likely,,
Capitol TwinPeaks (Sanken),,+94770788788,Colombo,,https://capitoltwinpeaks.com/,Yes,,
Havelock City,,+94772505100,Colombo,,https://www.havelockcity.lk/,Likely,,
John Keells Properties,,+94702151151,Colombo,,https://www.johnkeellsproperties.com/,Likely,,
OnThree20,,+94765321084,Colombo,,https://on320.lk/,Yes,,
